lat,lon,depth,cluster
35.158783,139.60017,16.839,39
35.158783,139.60022,15.225,39
35.158783,139.60086,20.606,52
35.158783,139.6045,16.787,88
35.158787,139.60016,14.455,39
35.158787,139.60023,15.465,39
35.158787,139.6005,20.668,42
35.158787,139.60088,20.335,52
35.158787,139.60089,20.471,52
35.15879,139.59988,18.993,38
35.15879,139.60013,17.151,39
35.15879,139.60014,16.162,39
35.15879,139.60016,15.3975,39
35.15879,139.6009,20.793,52
35.15879,139.60115,19.919,53
35.15879,139.60452,16.828,88
35.158794,139.60002,13.363,38
35.158794,139.60014,15.017,39
35.158794,139.60023,16.682,39
35.158794,139.60092,20.876,52
35.158794,139.60094,20.648,52
35.158794,139.60095,20.45,52
35.158794,139.60124,19.034,53
35.158794,139.6044,17.255,88
35.1588,139.5999,18.629,38
35.1588,139.60014,15.038,39
35.1588,139.60051,20.981,42
35.1588,139.60097,20.398,52
35.1588,139.60098,20.2,52
35.1588,139.601,20.45,52
35.1588,139.60101,20.512,52
35.1588,139.60103,20.325,52
35.1588,139.60104,20.179,52
35.1588,139.60107,20.158,53
35.1588,139.60114,20.2,53
35.1588,139.60127,19.149,54
35.1588,139.60454,16.932,88
35.158802,139.60002,13.238,38
35.158802,139.60008,15.787,39
35.158802,139.60107,20.262,53
35.158802,139.6011,20.106,53
35.158802,139.60112,20.346,53
35.158802,139.60129,19.222,54
35.158806,139.60025,18.087,39
35.158806,139.60129,19.347,54
35.158806,139.60455,16.963,88
35.15881,139.5999,18.441,38
35.15881,139.6,13.748,38
35.15881,139.60002,14.861,38
35.15881,139.60051,21.303,42
35.15881,139.6013,18.899,54
35.158813,139.6,14.591,38
35.158813,139.60014,14.58,39
35.158813,139.60025,17.91,39
35.158813,139.60132,18.868,54
35.158813,139.60133,18.452,54
35.158817,139.6,14.903,38
35.158817,139.60004,16.162,38
35.158817,139.60133,18.254,54
35.158817,139.60455,16.807,88
35.15882,139.5999,18.701,38
35.15882,139.59999,14.32,38
35.15882,139.6,15.319,38
35.15882,139.60002,15.558,38
35.15882,139.60025,18.202,39
35.15882,139.60135,18.233,54
35.15882,139.60141,17.296,54
35.158825,139.60052,21.376,42
35.158825,139.60138,17.869,54
35.158825,139.6014,17.421,54
35.15883,139.59996,16.193,38
35.15883,139.59999,14.611,38
35.15883,139.60002,16.162,38
35.15883,139.60014,14.497,39
35.15883,139.60455,16.922,88
35.1588314375,139.5994809375,22.588,12
35.1588314375,139.59967671875,20.902821250000002,12
35.1588314375,139.5998725,17.216794011627908,13
35.1588314375,139.60006828125,16.126863092676153,38
35.1588314375,139.6002640625,18.107436852572242,39
35.1588314375,139.60045984375,20.906601446647322,41
35.1588314375,139.600655625,21.306457070707072,42
35.1588314375,139.60085140625,20.564115384615384,51
35.1588314375,139.6010471875,20.241901098901096,52
35.1588314375,139.60124296875,19.22951298701299,53
35.1588314375,139.60143875,18.455454545454543,54
35.1588314375,139.60163453125,18.769000000000002,60
35.1588314375,139.6018303125,18.769000000000002,60
35.1588314375,139.602221875,15.734615384615388,65
35.1588314375,139.60241765625,15.734615384615388,65
35.1588314375,139.6026134375,15.527333333333335,67
35.1588314375,139.60280921875,15.578875000000002,67
35.1588314375,139.603005,15.630416666666669,68
35.1588314375,139.60320078125,15.751000000000001,81
35.1588314375,139.6033965625,15.824076923076923,81
35.1588314375,139.60359234375,16.021826923076926,84
35.1588314375,139.603788125,16.20625,85
35.1588314375,139.60398390625,16.266,89
35.1588314375,139.6041796875,17.04357142857143,87
35.1588314375,139.60437546875,17.06407773109244,87
35.1588314375,139.60457125,17.074330882352942,88
35.158833,139.60023,18.108,44
35.158836,139.59998,14.9445,43
35.158836,139.59999,15.26,43
35.158836,139.6,15.4885,43
35.158836,139.60002,15.694,43
35.158836,139.60007,13.508,44
35.15884,139.59988,16.318,43
35.15884,139.59999,15.491,43
35.15884,139.6,15.568666666666669,43
35.15884,139.60002,15.996,43
35.15884,139.6001,13.831,44
35.15884,139.60014,14.83,44
35.158844,139.59991,17.702,43
35.158844,139.59996,15.09,43
35.158844,139.59999,15.465,43
35.158844,139.6,15.624333333333333,43
35.158844,139.60007,13.883,44
35.158844,139.60013,15.475,44
35.158844,139.60023,18.92,44
35.158848,139.59988,16.932,43
35.158848,139.6,15.944,43
35.158848,139.60005,14.049,43
35.158848,139.6001,14.206,44
35.15885,139.59988,13.987,43
35.15885,139.5999,13.873,43
35.15885,139.59996,15.132,43
35.15885,139.6,15.673,43
35.15885,139.60002,15.642,43
35.15885,139.60004,14.32,43
35.15885,139.60025,18.712,44
35.158855,139.59991,16.0425,43
35.158855,139.59995,15.205,43
